07.12.2017 03:42:11: TOKEN [xvs90r8nc18hys48lj] FOR Mike Hawk(76561198064338936) OWNER: 3, ID: 3.25956e+008, JIP: true
07.12.2017 03:42:42: TOKEN [qi2nu8sxz46icsg] FOR Zataralee(76561197994641119) OWNER: 4, ID: 6.87543e+008, JIP: true
07.12.2017 03:43:24: TOKEN [mp8kvwd8cptyis] FOR Mike Hawk(76561198064338936) OWNER: 5, ID: 3.99522e+008, JIP: true
07.12.2017 03:44:06: TOKEN [ell3ck9w57p4u6qv2] FOR AkToker(76561197963221112) OWNER: 6, ID: 1.88143e+008, JIP: true
07.12.2017 03:44:28: TOKEN [rgrfcdu2ponj1skj] FOR Zataralee(76561197994641119) OWNER: 7, ID: 7.99674e+008, JIP: true
07.12.2017 03:58:12: TOKEN [wk7jtg598ffazwge] FOR DrunkinfoolGrim(76561198173627579) OWNER: 8, ID: 1.86009e+009, JIP: true
07.12.2017 04:02:36: TOKEN [bk8qoubneu18l5ukni] FOR Lothaar(76561197966847701) OWNER: 9, ID: 4.10934e+008, JIP: true
07.12.2017 04:27:59: TOKEN [jr4ubwyiqrb4z4dsvl] FOR DrunkinfoolGrim(76561198173627579) OWNER: 3, ID: 1.51273e+009, JIP: true
07.12.2017 04:28:48: TOKEN [ilc6ddb2c9pxx6c] FOR AkToker(76561197963221112) OWNER: 4, ID: 7.2344e+008, JIP: true
07.12.2017 04:28:58: TOKEN [vfv6634ej7rq7sns5] FOR DrunkinfoolGrim(76561198173627579) OWNER: 5, ID: 1.57161e+009, JIP: true
07.12.2017 04:30:12: TOKEN [k47p65gxee7hmnb] FOR Mike Hawk(76561198064338936) OWNER: 6, ID: 1.05525e+009, JIP: true
07.12.2017 04:31:06: TOKEN [foky8xkk5ggw63jtfv] FOR AkToker(76561197963221112) OWNER: 7, ID: 8.6062e+008, JIP: true
07.12.2017 06:19:23: TOKEN [xu40nldmiwdigxe3] FOR Rog641(76561197974499499) OWNER: 8, ID: 1.46931e+009, JIP: true
07.12.2017 08:32:34: TOKEN [iy8ic8rhvpciz3mtk5] FOR Rog641(76561197974499499) OWNER: 3, ID: 9.19989e+008, JIP: true
